faa;name;lat;lon;alt;tz;dst;tzone
04G;Lansdowne Airport;41,13047; -80,61958;1044; -5;A;America/New_York
06A;Moton Field Municipal Airport;32,46057; -85,68003; 264; -6;A;America/Chicago
06C;Schaumburg Regional;41,98934; -88,10124; 801; -6;A;America/Chicago
06N;Randall Airport;41,43191; -74,39156; 523; -5;A;America/New_York
09J;Jekyll Island Airport;31,07447; -81,42778;  11; -5;A;America/New_York
0A9;Elizabethton Municipal Airport;36,37122; -82,17342;1593; -5;A;America/New_York
0G6;Williams County Airport;41,46731; -84,50678; 730; -5;A;America/New_York
0G7;Finger Lakes Regional Airport;42,88356; -76,78123; 492; -5;A;America/New_York
0P2;Shoestring Aviation Airfield;39,79482; -76,64719;1000; -5;U;America/New_York
0S9;Jefferson County Intl;48,05381;-122,81064; 108; -8;A;America/Los_Angeles
0W3;Harford County Airport;39,56684; -76,20240; 409; -5;A;America/New_York
10C;Galt Field Airport;42,40289; -88,37511; 875; -6;U;America/Chicago
17G;Port Bucyrus-Crawford County Airport;40,78156; -82,97481;1003; -5;A;America/New_York
19A;Jackson County Airport;34,17586; -83,56160; 951; -5;U;America/New_York
1A3;Martin Campbell Field Airport;35,01581; -84,34683;1789; -5;A;America/New_York
1B9;Mansfield Municipal;42,00013; -71,19677; 122; -5;A;America/New_York
1C9;Frazier Lake Airpark;54,01333;-124,76833; 152; -8;A;America/Vancouver
1CS;Clow International Airport;41,69597; -88,12923; 670; -6;U;America/Chicago
1G3;Kent State Airport;41,15139; -81,41511;1134; -5;A;America/New_York
1G4;Grand Canyon West Airport;35,89990;-113,81567;4813; -7;A;America/Phoenix
1H2;Effingham Memorial Airport;39,07000; -88,53400; 585; -6;A;America/Chicago
1OH;Fortman Airport;40,55533; -84,38662; 885; -5;U;America/New_York
1RL;Point Roberts Airpark;48,97972;-123,07889;  10; -8;A;America/Los_Angeles
23M;Clarke CO;32,05170; -88,44340; 320; -6;A;America/Chicago
24C;Lowell City Airport;42,95392; -85,34391; 681; -5;A;America/New_York
24J;Suwannee County Airport;30,30013; -83,02469; 104; -5;A;America/New_York
25D;Forest Lake Airport;45,24775; -92,99439; 925; -6;A;America/Chicago
29D;Grove City Airport;41,14603; -80,16775;1371; -5;A;America/New_York
2A0;Mark Anton Airport;35,48625; -84,93108; 718; -5;A;America/New_York
2B2;Plum Island Airport;42,79536; -70,83944;  11; -5;A;America/New_York
2G2;Jefferson County Airpark;40,36022; -80,70087;1196; -5;A;America/New_York
2G9;Somerset County Airport;40,03887; -79,01500;2275; -5;A;America/New_York
2H0;Shelby County Airport;39,41056; -88,84556; 550; -6;A;America/Chicago
2J9;Quincy Municipal Airport;30,59787; -84,55742; 225; -5;A;America/New_York
369;Atmautluak Airport;60,86667;-162,27306;  18; -9;A;America/Anchorage
36U;Heber City Municipal Airport;40,48181;-111,42881;5637; -7;A;America/Denver
38W;Lynden Airport;48,95590;-122,45812; 106; -8;A;America/Los_Angeles
3D2;Ephraim-Gibraltar Airport;45,13542; -87,18794; 773; -6;A;America/Chicago
3G3;Wadsworth Municipal;41,00316; -81,75644; 974; -5;A;America/New_York
3G4;Ashland County Airport;40,90297; -82,25564;1206; -5;A;America/New_York
3J1;Ridgeland Airport;32,49342; -80,99175;  79; -5;A;America/New_York
3W2;Put-in-Bay Airport;41,35210; -82,49700; 595; -5;A;America/New_York
40J;Perry-Foley Airport;30,06928; -83,58058;  44; -5;A;America/New_York
41N;Braceville Airport;41,21117; -80,96926; 900; -5;A;America/New_York
47A;Cherokee County Airport;34,31222; -84,42216;1219; -5;A;America/New_York
49A;Gilmer County Airport;34,62822; -84,52658;1486; -5;A;America/New_York
49X;Chemehuevi Valley;34,52889;-114,43197; 638; -8;A;America/Los_Angeles
4A4;Polk County Airport - Cornelius Moore Field;34,01869; -85,14647; 974; -5;A;America/New_York
4A7;Clayton County Tara Field;33,38910; -84,33240; 874; -5;A;America/New_York
4A9;Isbell Field Airport;34,47369; -85,72139; 877; -6;A;America/Chicago
4B8;Robertson Field;41,68933; -72,86469; 202; -5;A;America/New_York
4G0;Pittsburgh-Monroeville Airport;40,45264; -79,77492;1187; -5;A;America/New_York
4G2;Hamburg Inc Airport;42,70089; -78,91476; 751; -5;A;America/New_York
4G4;Youngstown Elser Metro Airport;40,96180; -80,67733;1070; -5;A;America/New_York
4I7;Putnam County Airport;39,63356; -86,81381; 842; -5;U;America/New_York
4U9;Dell Flight Strip;44,73575;-112,72001;6007; -7;A;America/Denver
52A;Madison GA Municipal Airport;33,61212; -83,46044; 694; -5;A;America/New_York
54J;DeFuniak Springs Airport;30,73111; -86,15378; 289; -6;A;America/Chicago
55J;Fernandina Beach Municipal Airport;30,61183; -81,46119;  16; -5;A;America/New_York
55S;Packwood;46,36250;-121,40670;1057; -8;A;America/Los_Angeles
57C;East Troy Municipal Airport;42,79717; -88,37261; 860; -6;A;America/Chicago
5B2;Saratoga County Airport;43,05072; -73,86164; 433; -5;A;America/New_York
60J;Ocean Isle Beach Airport;33,90851; -78,43667;  32; -5;U;America/New_York
6A2;Griffin-Spalding County Airport;33,22697; -84,27494; 958; -5;A;America/New_York
6J4;Saluda County;33,55610; -81,47680; 539; -5;A;America/New_York
6K8;Tok Junction Airport;63,32944;-142,95361;1639; -9;A;America/Anchorage
6S0;Big Timber Airport;45,80639;-109,98111;4492; -7;A;America/Denver
6S2;Florence;43,98282;-124,11137;  51; -8;A;America/Los_Angeles
6Y8;Welke Airport;45,72111; -85,52028; 664; -5;A;America/New_York
70J;Cairo-Grady County Airport;30,88798; -84,15474; 265; -5;A;America/New_York
70N;Spring Hill Airport;41,34736; -75,41590;1729; -5;A;America/New_York
7A4;Foster Field;42,46644; -90,16939; 990; -6;A;America/Chicago
7D9;Germack Airport;41,77783; -80,90398; 820; -5;A;America/New_York
7N7;Spitfire Aerodrome;39,73556; -75,39772;  40; -5;A;America/New_York
8M8;Garland Airport;44,80653; -84,27619;1218; -5;A;America/New_York
93C;Richland Airport;43,28336; -90,29828; 742; -6;A;America/Chicago
99N;Bamberg County Airport;33,30453; -81,10842; 231; -5;A;America/New_York
9A1;Covington Municipal Airport;33,63231; -83,84745; 809; -5;A;America/New_York
9A5;Barwick Lafayette Airport;34,68848; -85,29033; 777; -5;A;America/New_York
9G1;Rock Airport;40,60355; -79,82612;1063; -5;A;America/New_York
A39;Phoenix Regional Airport;32,99170;-111,92100;1300; -7;A;America/Phoenix
A50;Colorado Springs East;38,87000;-104,41000;6145; -7;A;America/Denver
AAF;Apalachicola Regional Airport;29,72761; -85,02744;  20; -5;A;America/New_York
AAP;Andrau Airport;29,43000; -95,35000;  80; -6;A;America/Chicago
ABE;Lehigh Valley Intl;40,65208; -75,44081; 393; -5;A;America/New_York
ABI;Abilene Rgnl;32,41132; -99,68190;1791; -6;A;America/Chicago
ABL;Ambler Airport;67,10639;-157,85750; 334; -9;A;America/Anchorage
ABQ;Albuquerque International Sunport;35,04022;-106,60919;5355; -7;A;America/Denver
ABR;Aberdeen Regional Airport;45,44910; -98,42180;1302; -6;A;America/Chicago
ABY;Southwest Georgia Regional Airport;31,53550; -84,19450; 197; -5;A;America/New_York
ACJ;Jimmy Carter Regional;32,06650; -84,11330; 468; -5;A;America/New_York
ACK;Nantucket Mem;41,25305; -70,06018;  48; -5;A;America/New_York
ACT;Waco Rgnl;31,61129; -97,23052; 516; -6;A;America/Chicago
ACV;Arcata;40,97811;-124,10861; 221; -8;A;America/Los_Angeles
ACY;Atlantic City Intl;39,45758; -74,57717;  75; -5;A;America/New_York
ADK;Adak Airport;51,87800;-176,64600;  18; -9;A;America/Anchorage
ADM;Ardmore Muni;34,30083; -97,00889; 762; -6;A;America/Chicago
ADQ;Kodiak;57,74997;-152,49386;  78; -9;A;America/Anchorage
ADS;Addison;32,96856; -96,83645; 644; -6;A;America/Chicago
ADW;Andrews Afb;38,81081; -76,86703; 280; -5;A;America/New_York
AET;Allakaket Airport;66,55190;-152,62220; 441; -9;A;America/Anchorage
